nama_kecamatan,Persentase Suara sah
AIR BESAR,98.80807433514899
AIR UPAS,97.71304458924237
AMBALAU,97.82122905027933
ANJONGAN,97.98455453004333
BADAU,98.57691438897673
BALAI,98.32469086557639
BANYUKE HULU,100.10819583446037
BATANG LUPAR,98.83649724433558
BATU AMPAR,98.13108712819162
BEDUAI,98.31966662185778
BELIMBING,97.90060685583074
BELIMBING HULU,99.30473121926403
BELITANG,100.29005289199795
BELITANG HILIR,98.28693790149893
BELITANG HULU,99.4188984335523
BENGKAYANG,98.24275573140928
BENUA KAYONG,98.0106050919484
BIKA,98.49812265331664
BINJAI HULU,98.50051118936726
BONTI,97.78384942319369
BOYAN TANJUNG,97.91449426485923
BUNUT HILIR,97.8481526593585
BUNUT HULU,98.0920191888356
CAPKALA,97.68031189083821
DEDAI,98.4436000208214
DELTA PAWAN,98.48118884840545
ELLA HILIR,98.4757757212847
EMBALOH HILIR,97.73595199127114
EMBALOH HULU,97.95330988167574
EMPANANG,98.84153909805545
ENTIKONG,98.05088702147525
GALING,96.00669957686883
HULU GURUNG,92.0277470594149
HULU SUNGAI,98.96992171405027
JAGOI BABANG,98.74213836477988
JANGKANG,97.95943008935039
JAWAI,96.56721008920333
JAWAI SELATAN,97.80410022779044
JELAI HULU,97.23186552165176
JELIMPO,98.61558745971286
JONGKAT,97.93151470467765
JONGKONG,109.33734939759037
KALIS,98.68435723046048
KAPUAS,98.64029059493421
KAYAN HILIR,100.95555233820761
KAYAN HULU,99.48740806775128
KELAM PERMAI,100.37100170460242
KEMBAYAN,98.53782238048991
KENDAWANGAN,97.54761904761905
KEPULAUAN KARIMATA,96.70781893004116
KETUNGAU HILIR,99.37995177402686
KETUNGAU HULU,99.33321635374627
KETUNGAU TENGAH,98.68383809793376
KUALA BEHE,98.26044346441259
KUALA MANDOR B,97.70020907190255
KUBU,101.52413209144792
LEDO,98.60743468753597
LEMBAH BAWANG,98.05119255381035
LUMAR,99.16407465007777
MANDOR,98.59413202933986
MANIS MATA,97.88844621513945
MARAU,98.52267998335414
MATAN HILIR SELATAN,96.53690858266901
MATAN HILIR UTARA,96.24005784526392
MELIAU,98.93932732468674
MEMPAWAH HILIR,97.50674527830519
MEMPAWAH HULU,99.17269906928645
MEMPAWAH TIMUR,97.83721910958492
MENJALIN,99.00832002689302
MENTEBAH,97.43893412287194
MENUKUNG,99.50828157349896
MENYUKE,98.61673414304994
MERANTI,101.62032774811269
MONTERADO,97.62332116110665
MUARA PAWAN,97.27909011373578
MUKOK,97.89377289377289
NANGA MAHAP,98.39100578968628
NANGA PINOH,98.62342070526118
NANGA TAMAN,100.59505551806637
NANGA TAYAP,98.28304953013496
NGABANG,99.33541435907763
NOYAN,96.80287552024215
PALOH,97.66599014207017
PARINDU,97.4492268381867
PEMAHAN,97.86780383795309
PEMANGKAT,97.87736862458644
PENGKADAN,97.52123418270064
PINOH SELATAN,98.85853293413174
PINOH UTARA,99.47470817120623
PONTIANAK BARAT,99.73772125190482
PONTIANAK KOTA,98.48514050032765
PONTIANAK SELATAN,101.5956969968624
PONTIANAK TENGGARA,98.83525300892973
PONTIANAK TIMUR,98.42472181257541
PONTIANAK UTARA,98.0762290758682
PULAU MAYA,93.52432109817966
PURING KENCANA,98.83081155433288
PUTUSSIBAU SELATAN,98.24294867560604
PUTUSSIBAU UTARA,98.14456899884036
RASAU JAYA,98.14732000255542
SADANIANG,96.83063243940914
SAJAD,98.15209665955935
SAJINGAN BESAR,98.35892803372478
SALATIGA,96.73834259482967
SAMALANTAN,98.5989627680161
SAMBAS,99.46542781684539
SANDAI,97.36377733811025
SANGGAU LEDO,98.1981981981982
SAYAN,98.78606965174129
SEBANGKI,99.07852564102564
SEBAWI,97.86723163841809
SEBERUANG,97.17955508474576
SEGEDONG,97.39782761584746
SEJANGKUNG,96.27566769561132
SEKADAU HILIR,99.39612609191036
SEKADAU HULU,98.93428063943162
SEKAYAM,97.87299948373774
SELAKAU,97.71802863028894
SELAKAU TIMUR,97.30858468677495
SELIMBAU,98.65035849852383
SELUAS,98.56582847308538
SEMITAU,98.76917250520735
SEMPARUK,97.09212730318258
SENGAH TEMILA,99.0383555604541
SEPAUK,99.82331555162924
SEPONTI,97.45602165087956
SERAWAI,98.29328542555581
SIDING,97.72727272727273
SILAT HILIR,97.96545512345025
SILAT HULU,98.65657059110895
SIMPANG DUA,98.15450643776825
SIMPANG HILIR,95.79901915425188
SIMPANG HULU,99.70348969816772
SINGKAWANG BARAT,97.37003594284211
SINGKAWANG SELATAN,97.56753296632954
SINGKAWANG TENGAH,99.4619762027936
SINGKAWANG TIMUR,97.64255644852659
SINGKAWANG UTARA,97.41441348822865
SINGKUP,98.38645418326693
SINTANG,98.63777717685235
SOKAN,99.17582417582418
SOMPAK,100.99509269356597
SUBAH,98.11832820698389
SUHAID,98.40100329205205
SUKADANA,96.39387144992526
SUNGAI AMBAWANG,100.75143919710632
SUNGAI BETUNG,98.08019817309182
SUNGAI KAKAP,97.65027403567662
SUNGAI KUNYIT,97.22624976360083
SUNGAI LAUR,97.21245605223505
SUNGAI MELAYU RAYAK,97.81546811397558
SUNGAI PINYUH,97.87663194953792
SUNGAI RAYA,98.26052328339999
SUNGAI RAYA KEPULAUAN,97.6566407087233
SUNGAI TEBELIAN,98.53604906839486
SUTI SEMARANG,98.14102564102564
TANAH PINOH,98.32566914278976
TANGARAN,102.48821574839657
TAYAN HILIR,98.97583537851614
TAYAN HULU,98.2083922677982
TEBAS,96.78645636569702
TEKARANG,96.97527617043662
TELUK BATANG,95.44322709163346
TELUK KERAMAT,98.27948515891778
TELUK PAKEDAI,97.26850875342755
TEMPUNAK,98.94017094017093
TERENTANG,99.8793242156074
TERIAK,98.6099460754943
TOBA,98.9299414496265
TOHO,98.41340982430978
TUJUH BELAS,97.86708576560396
TUMBANG TITI,97.70518358531316
