nama_kecamatan,Persentase Suara Tidak Sah
AIR BESAR,1.1919256648510093
AIR UPAS,2.2358502619138876
AMBALAU,2.1787709497206706
ANJONGAN,2.0154454699566773
BADAU,1.4230856110232664
BALAI,1.6274431591543677
BANYUKE HULU,1.1901541790641061
BATANG LUPAR,1.1635027556644213
BATU AMPAR,2.6954461700447485
BEDUAI,1.6803333781422232
BELIMBING,2.0009840905363294
BELIMBING HULU,0.6952687807359674
BELITANG,0.9042825456406757
BELITANG HILIR,1.7130620985010707
BELITANG HULU,0.5811015664477008
BENGKAYANG,1.3964855114628185
BENUA KAYONG,8.80749125644015
BIKA,1.5018773466833542
BINJAI HULU,1.4994888106327389
BONTI,2.2161505768063146
BOYAN TANJUNG,2.0855057351407713
BUNUT HILIR,2.1518473406414937
BUNUT HULU,1.9079808111644134
CAPKALA,2.3196881091617936
DEDAI,1.5563999791785956
DELTA PAWAN,1.5351864739837067
ELLA HILIR,1.5242242787152966
EMBALOH HILIR,2.2640480087288597
EMBALOH HULU,2.0466901183242725
EMPANANG,1.1584609019445593
ENTIKONG,1.9491129785247432
GALING,3.9933004231311706
HULU GURUNG,0.9852216748768473
HULU SUNGAI,1.0300782859497322
JAGOI BABANG,1.257861635220126
JANGKANG,2.0405699106496016
JAWAI,2.405413718855737
JAWAI SELATAN,2.1958997722095672
JELAI HULU,1.8454229855655035
JELIMPO,1.3844125402871374
JONGKAT,2.068485295322356
JONGKONG,1.6155531215772179
KALIS,1.315642769539525
KAPUAS,1.3597094050657765
KAYAN HILIR,0.7625114618020365
KAYAN HULU,0.5125919322487185
KELAM PERMAI,0.9926802366389251
KEMBAYAN,1.4621776195100895
KENDAWANGAN,2.4523809523809526
KEPULAUAN KARIMATA,3.292181069958848
KETUNGAU HILIR,0.6200482259731313
KETUNGAU HULU,0.6667836462537287
KETUNGAU TENGAH,1.2100198131899236
KUALA BEHE,1.7395565355874065
KUALA MANDOR B,2.299790928097446
KUBU,2.888324395521686
LEDO,1.392565312464035
LEMBAH BAWANG,1.9488074461896452
LUMAR,0.8359253499222394
MANDOR,1.419451236077153
MANIS MATA,2.0717131474103585
MARAU,1.4773200166458593
MATAN HILIR SELATAN,3.4630914173309866
MATAN HILIR UTARA,3.759942154736081
MELIAU,1.0606726753132556
MEMPAWAH HILIR,2.2684121115219344
MEMPAWAH HULU,0.8273009307135472
MEMPAWAH TIMUR,2.1627808904150854
MENJALIN,0.9916799731069837
MENTEBAH,2.5610658771280534
MENUKUNG,0.4917184265010352
MENYUKE,1.3832658569500675
MERANTI,1.1415945498066655
MONTERADO,2.3581110354645043
MUARA PAWAN,2.720909886264217
MUKOK,2.0970695970695967
NANGA MAHAP,2.0331223912750773
NANGA PINOH,2.2722986988497076
NANGA TAMAN,1.07355376970738
NANGA TAYAP,1.7169504698650462
NGABANG,1.1613466250461517
NOYAN,3.1971244797578504
PALOH,2.3340098579298347
PARINDU,1.5595400678443985
PEMAHAN,2.1321961620469083
PEMANGKAT,2.1226313754135697
PENGKADAN,2.4787658172993585
PINOH SELATAN,1.1414670658682635
PINOH UTARA,0.5252918287937743
PONTIANAK BARAT,1.6571914195287776
PONTIANAK KOTA,1.3722391396523146
PONTIANAK SELATAN,1.2774540564769161
PONTIANAK TENGGARA,1.2035718907726156
PONTIANAK TIMUR,2.044509987934039
PONTIANAK UTARA,1.9154429114732257
PULAU MAYA,6.475678901820352
PURING KENCANA,1.1691884456671253
PUTUSSIBAU SELATAN,1.55228218508488
PUTUSSIBAU UTARA,1.8554310011596444
RASAU JAYA,1.8526799974445791
SADANIANG,2.265882690377169
SAJAD,1.8479033404406537
SAJINGAN BESAR,1.6410719662752185
SALATIGA,3.261657405170331
SAMALANTAN,1.4010372319838997
SAMBAS,2.1892003691093644
SANDAI,2.636222661889738
SANGGAU LEDO,1.8018018018018018
SAYAN,1.2139303482587065
SEBANGKI,0.921474358974359
SEBAWI,2.132768361581921
SEBERUANG,2.8204449152542375
SEGEDONG,2.6021723841525355
SEJANGKUNG,3.724332304388673
SEKADAU HILIR,7.451576148879605
SEKADAU HULU,1.0657193605683837
SEKAYAM,2.127000516262261
SELAKAU,2.281971369711056
SELAKAU TIMUR,2.691415313225058
SELIMBAU,1.3496415014761705
SELUAS,1.434171526914619
SEMITAU,1.230827494792653
SEMPARUK,2.8006700167504186
SENGAH TEMILA,0.936845585804034
SEPAUK,0.8392511297611362
SEPONTI,2.543978349120433
SERAWAI,1.7067145744441947
SIDING,2.272727272727273
SILAT HILIR,2.034544876549751
SILAT HULU,1.34342940889106
SIMPANG DUA,1.8454935622317596
SIMPANG HILIR,4.200980845748126
SIMPANG HULU,7.131452900478978
SINGKAWANG BARAT,1.972473042868414
SINGKAWANG SELATAN,2.4324670336704646
SINGKAWANG TENGAH,7.762545266425246
SINGKAWANG TIMUR,2.3038652889399156
SINGKAWANG UTARA,2.8631643877865733
SINGKUP,1.6135458167330679
SINTANG,1.5346133044889128
SOKAN,0.8241758241758242
SOMPAK,0.9541984732824428
SUBAH,1.8816717930161029
SUHAID,1.5989967079479541
SUKADANA,3.6061285500747386
SUNGAI AMBAWANG,1.6327882215089917
SUNGAI BETUNG,1.91980182690819
SUNGAI KAKAP,2.9438412523950275
SUNGAI KUNYIT,2.773750236399168
SUNGAI LAUR,2.9131089904570566
SUNGAI MELAYU RAYAK,2.1845318860244234
SUNGAI PINYUH,2.12336805046208
SUNGAI RAYA,1.814885108113604
SUNGAI RAYA KEPULAUAN,2.3433592912767023
SUNGAI TEBELIAN,1.4639509316051382
SUTI SEMARANG,1.858974358974359
TANAH PINOH,1.6743308572102347
TANGARAN,2.1327563557684877
TAYAN HILIR,1.024164621483859
TAYAN HULU,1.7579308951303294
TEBAS,2.3351907820173783
TEKARANG,3.0247238295633876
TELUK BATANG,4.556772908366534
TELUK KERAMAT,3.6577357499343313
TELUK PAKEDAI,2.7314912465724532
TEMPUNAK,1.0598290598290598
TERENTANG,2.145347278090641
TERIAK,1.390053924505692
TOBA,1.070058550373511
TOHO,1.5865901756902117
TUJUH BELAS,2.1329142343960483
TUMBANG TITI,2.294816414686825
